opt_id,question_id,prompt,transcription,llm_speaking_accuracy_llama31_score,llm_speaking_accuracy_mistral_score,llm_speaking_accuracy_llama32_score,llm_speaking_accuracy_claude_score,most_common_value,agreement_percentage,opt_id_q_id
21887,t1_q7,Tell me about a person you know well.," My customer is the good man and he takes care of my friend, my friend, the children.",0.0,3.0,3.0,3.0,3.0,75.0,21887_t1_q7
70523,t1_q13,"In what ways has technology impacted your life, both positively and negatively?", .  So mobile computer is...,2.0,2.0,3.0,2.0,2.0,75.0,70523_t1_q13
69996,t1_q11,What are the biggest challenges for you in your area of work or study?, At the many times you have to manage the people. Is it my challenge actually? Usually I say that if you give me a job I can do it very quick and I'm confident to do that. But manage people knowing what they think or what they like to do or how you give them the chance to do growth. It's also my challenge to work in this shop.  my personal job because I'm a purchase. So looking to the market and follow the information and how it affected the price and make decision for the companies on so much health because the people say about 80% our profit belong to me.,0.0,0.0,1.0,0.0,0.0,75.0,69996_t1_q11
23184,t1_q4,Tell me something about your family., Only my appearance and grandpa in my family. That's all.,3.0,3.0,3.0,3.0,3.0,100.0,23184_t1_q4
70793,t1_q14,Describe the differences between people your age and the older generation. Why do you think these differences exist?, The,2.0,2.0,0.0,1.0,2.0,50.0,70793_t1_q14
73374,t1_q4,Tell me something about your family., My family is 6% I am my husband and 3 sons and a daughter,0.0,0.0,0.0,2.0,0.0,75.0,73374_t1_q4
96790,t1_q11,What are the biggest challenges for you in your area of work or study?, I have been play football and see movie of comedy and some movies of war  Please tell me.,2.0,2.0,0.0,2.0,2.0,75.0,96790_t1_q11
70765,t1_q13,"In what ways has technology impacted your life, both positively and negatively?", no technology no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no  No people. Auto process.,2.0,2.0,0.0,2.0,2.0,75.0,70765_t1_q13
75530,t1_q3,Tell me about your hobbies., I'm in Hobbes. I'm in Hobbes. Go to the beach with my family. Go to restaurant with my,1.0,0.0,0.0,0.0,0.0,75.0,75530_t1_q3
105396,t1_q6,What did you do on your last holiday?, The last holiday I go to the big and with my family I walk a lot with my son in the,3.0,3.0,4.0,3.0,3.0,75.0,105396_t1_q6
106259,t1_q7,Tell me about a person you know well., My wife is Kent. She is not tall. Her eyes are brown.,2.0,3.0,3.0,3.0,3.0,75.0,106259_t1_q7
72166,t1_q12,Tell me the plot of one of your favorite films or books., My favorite books and war and  Peace.,3.0,3.0,4.0,3.0,3.0,75.0,72166_t1_q12
73953,t1_q6,What did you do on your last holiday?," I am in the beach, my family, with family and the play in the swim pool party and the running and the play with the ball, football and the basket ball only.",2.0,2.0,0.0,2.0,2.0,75.0,73953_t1_q6
106075,t1_q12,Tell me the plot of one of your favorite films or books.," My favorite famous piece, Star Wars. My favorite book is the Lord of the Kings.",2.0,2.0,0.0,2.0,2.0,75.0,106075_t1_q12
92123,t1_q10,What was the last thing that made you feel happy or sad? Why?, I have been waiting for a while and I am starting,3.0,3.0,3.0,3.0,3.0,100.0,92123_t1_q10
70057,t1_q12,Tell me the plot of one of your favorite films or books.," Well, my favorite plan of my book is about a story of three young ladies that stay in the same hotel and they speak about their lives, all about their situations and they come from them about  We get a sentimental drama or very emotional situations with a lot and frankly films that I prefer is",0.0,2.0,2.0,2.0,2.0,75.0,70057_t1_q12
92618,t1_q3,Tell me about your hobbies., My hobbies are play the guitar and play in beat and play with my sister.,4.0,4.0,4.0,4.0,4.0,100.0,92618_t1_q3
72411,t1_q6,What did you do on your last holiday?, The next holiday I came and I came to board the beach but I don't know. I think that's a great deal. I go to the beach. Then I show holiday.,2.0,2.0,0.0,2.0,2.0,75.0,72411_t1_q6
81502,t1_q9,Tell me about an important decision you had to make.," My important make the decision. Well, maybe select a one. It's a profession study.  .",0.0,0.0,0.0,1.0,0.0,75.0,81502_t1_q9
75480,t1_q10,What was the last thing that made you feel happy or sad? Why?," Okay, and this time I was happy with some of my digestion. I was happy because I finished the engine height. This is my important for me is a derivative in the car.  is the I thought I am the star of my professional life.",2.0,2.0,0.0,3.0,2.0,50.0,75480_t1_q10
105718,t1_q12,Tell me the plot of one of your favorite films or books.," My favorite film, it was animated films by a family member, I like so much, that I piece Bloss at the ocean and the Bridge Book personally said  story, stay very very very friends at the end of this film.",2.0,2.0,2.0,2.0,2.0,100.0,105718_t1_q12
20481,t1_q13,"In what ways has technology impacted your life, both positively and negatively?", Good bye.  I stay home all day and I won't talk to anybody. I need a change.,3.0,3.0,2.0,3.0,3.0,75.0,20481_t1_q13
97338,t1_q5,What type of food do you like and dislike?, I like food and Big Mac and potato free and pizza,2.0,2.0,3.0,2.0,2.0,75.0,97338_t1_q5
74505,t1_q8,Do you think people spend too much time on their mobile phones? Why?, yes the mobile phone is a good instrument for the technology for the anything but some people spend so much time with this and use the mobile phone that incorrectly it is not good  The people should use the mobile phone for study and for work.,2.0,2.0,3.0,3.0,2.0,50.0,74505_t1_q8
74995,t1_q5,What type of food do you like and dislike?, I like to choose my best food. I like rice and normally I go to rice personally in my kitchen. The pizza is good Italian food.,1.0,1.0,1.0,1.0,1.0,100.0,74995_t1_q5
76480,t1_q14,Describe the differences between people your age and the older generation. Why do you think these differences exist?, I'm trying to understand. Sorry.,0.0,3.0,3.0,3.0,3.0,75.0,76480_t1_q14
98336,t1_q4,Tell me something about your family., My family is composed by me and my husband.,2.0,3.0,3.0,3.0,3.0,75.0,98336_t1_q4
93218,t1_q14,Describe the differences between people your age and the older generation. Why do you think these differences exist?, The way decorate up and  We are Betty advances,0.0,0.0,2.0,1.0,0.0,50.0,93218_t1_q14
84692,t1_q13,"In what ways has technology impacted your life, both positively and negatively?", .,3.0,3.0,0.0,3.0,3.0,75.0,84692_t1_q13
78432,t1_q4,Tell me something about your family., My family is a medium family. We are five brothers and three sisters and two brothers.,0.0,0.0,0.0,0.0,0.0,100.0,78432_t1_q4
74879,t1_q7,Tell me about a person you know well., I don't understand the question. Sorry.,2.0,2.0,3.0,2.0,2.0,75.0,74879_t1_q7
24976,t1_q6,What did you do on your last holiday?, I just stayed at my home and reading books.,0.0,0.0,0.0,0.0,0.0,100.0,24976_t1_q6
24836,t1_q10,What was the last thing that made you feel happy or sad? Why?," The last thing that made me happy is to go to the sea and play in the beach because I, with my friend, to Quijo and play in the sea and work in the beach.  to your hips",0.0,0.0,0.0,1.0,0.0,75.0,24836_t1_q10
22055,t1_q8,Do you think people spend too much time on their mobile phones? Why?, During the morning life everyone wants to use the mobile phones. They can use the mobile phones to contact with the others. They can use the mobile phone to play for.  with one it is done. And now I can pay for use through some of our phone.,0.0,0.0,0.0,1.0,0.0,75.0,22055_t1_q8
